id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url,,,
1.12703932915757E+018,1.12542367925959E+018,1557542090000,2019-05-11,09:34:50,WIB,1.12419651482432E+018,regitap69577615,Scorpion Girl,,"Seperti biasa, azan subuh berkumandang. Aku dan mama ku ingin pulang kerumah. Bambang yang mendengar azan mulai menunjukkan reaksi nya. Selesai di obati, Bambang malah semakin parah mengamuk nya. Dia sampai ingin ke dapur dan menggambil pisau untuk bunuh diri.",,[],[],1,0,0,,[],https://twitter.com/RegitaP69577615/status/1127039329157574656,,,0,https://pbs.twimg.com/profile_images/1125426568719785985/oyTh54iD.jpg,,,
1.1269517087335E+018,1.1269517087335E+018,1557521199000,2019-05-11,03:46:39,WIB,2191759916,diseduhh,manusiaseutuhnya,,Selamat pagi para pemilik hati yang tidak dikabari pacar sehari langsung ingin bunuh diri.,,[],[],0,0,1,,[],https://twitter.com/diseduhh/status/1126951708733497344,,,0,https://pbs.twimg.com/profile_images/1126564791076540416/qpMgEv7q.jpg,,,
1.12687749242849E+018,1.12687749242849E+018,1557503505000,2019-05-10,22:51:45,WIB,74101756,cakrabirawa2000,Sang~Kolonel™,,kaum tua hari ini menyelamatkan diri menawarkan diri untuk tiduri.. Kaum muda harus berani provokasi atas demokrasi yg telah dikebiri.. Jangan biarkan ibu Pertiwi meratapi nasibnya kini hingga ingin bunuh diri..  Saatnya menyulut api revolusi untuk negri gemah Ripah loh jinawi..,,[],[],0,2,3,,[],https://twitter.com/cakrabirawa2000/status/1126877492428492800,,,0,https://pbs.twimg.com/profile_images/699057909280305152/zm48td-F.jpg,,,
1.12686777068202E+018,1.12682165720345E+018,1557501187000,2019-05-10,22:13:07,WIB,211143743,farsyahiyyans,Ahmad Ainun Najib,,so far apa ada bantuan untuk yang ingin suicide? dalam artian bantuan untuk membuatnya mengurungkan niat ingin bunuh diri?,['sabitchair'],[],[],1,0,0,,[],https://twitter.com/FarsyahIyyans/status/1126867770682019842,,,0,https://pbs.twimg.com/profile_images/977555884942311424/OCcsZ1_D.jpg,,,
1.12681577964141E+018,1.12681577964141E+018,1557488791000,2019-05-10,18:46:31,WIB,495605872,ciagusb,ica,,"Ketika unek2 dikeluarkan satu per satu. Dan ada yg mendengarkan, ditampung dan diberi solusi.  Setidaknya tekanan ini tidak membuat orang ingin bunuh diri.",,[],[],1,0,1,,[],https://twitter.com/Ciagusb/status/1126815779641413634,,,0,https://pbs.twimg.com/profile_images/1124556896831135747/upEHWV9P.jpg,,,
1.12680949326889E+018,1.12675357816762E+018,1557487292000,2019-05-10,18:21:32,WIB,2951722813,subagio_amin,🤡JOKER🃏,,"Sesampainya di rumah, ia menemukan seluruh anggota keluarganya telah dibunuh. Untuk bertahan hidup, Mulan tidak punya pilihan lain selain menjadi seorang selir.  Tak ingin menjadi selir dan melacur, Mulan pun bunuh diri di rumahnya.",,[],[],1,0,0,,[],https://twitter.com/subagio_amin/status/1126809493268885505,,,0,https://pbs.twimg.com/profile_images/1119623734564769793/5FZ6GMAe.jpg,,,
1.1267815983916E+018,1.12663643569868E+018,1557480642000,2019-05-10,16:30:42,WIB,9.81739218777985E+017,rajaamirul13,BedilBola,,Sabar bang. Kami disini sedia membantu. Kami menjual alat untuk mereka yang ingin bunuh diri tanpa perlu ikat tali gantung kat kipas dan tanpa perlu jalan jauh² atas jambatan semata² ingin terjun jambatan. Alat ini cukup mudah digunakan. Manual disediakan. Yang berminat sila pm  pic.twitter.com/CxN3bqBwG6,['izharhafni'],[],['https://pbs.twimg.com/media/D6Mh48ZUUAIpwg5.jpg'],0,0,0,,[],https://twitter.com/RajaAmirul13/status/1126781598391603201,,,0,https://pbs.twimg.com/profile_images/1114252591045570560/WqRZU03h.jpg,,,
1.12677952294521E+018,1.12677952294521E+018,1557480147000,2019-05-10,16:22:27,WIB,1.09237225332332E+018,pandaakuu,less sugar daddy,,Aku ingin bunuh diri. Setiap saat. Aku membenci hidupku.  Tapi aku tak melakukannya. Karena aku begitu mencintai diriku sendiri.,,[],[],0,2,2,,[],https://twitter.com/pandaakuu/status/1126779522945208320,,,0,https://pbs.twimg.com/profile_images/1126901851545149440/Tk6zlKhU.jpg,,,
1.12667633067256E+018,1.12664656050101E+018,1557455544000,2019-05-10,09:32:24,WIB,7.28861390975328E+017,baroms0,Ben 5,,Hahaha ingin bunuh diri,['earthxchel'],[],[],1,0,0,,[],https://twitter.com/BAROMS0/status/1126676330672562178,,,0,https://pbs.twimg.com/profile_images/1126152895370448898/DKoGp0Y6.jpg,,,
1.12666897446318E+018,1.12432081160141E+018,1557453790000,2019-05-10,09:03:10,WIB,9.41161157682872E+017,wan0listhiwa,Bumantara,,"""aku ingin bunuh diri dengan cara terjun ke IQ mu yg rendah, dengan melompat dari ego mu yg tinggi..""","['heartless8377', 'taeklow']",[],[],0,0,0,,[],https://twitter.com/wan0listhiwa/status/1126668974463176705,,,0,https://pbs.twimg.com/profile_images/1111626953990291464/tgzjQhib.jpg,,,
1.12659582394334E+018,1.12659523847725E+018,1557436350000,2019-05-10,04:12:30,WIB,2164367917,temennyaboboboy,Gopal,,Aku ingin bunuh diri.,['tanyarlsub'],[],[],0,0,0,,[],https://twitter.com/temennyaboboboy/status/1126595823943340032,,,0,https://pbs.twimg.com/profile_images/1094625836064358400/2Z4xD8fS.jpg,,,
